faculty_id,name,institution_id,homepage,rank,active,notes,orcid,google_scholar_id
sackett_paul,Paul R. Sackett,umn,https://cla.umn.edu/about/directory/profile/psackett,Professor,True,Core I-O; official UMN I-O page,,TXKXrhYAAAAJ
dunnette_marvin,Marvin D. Dunnette,umn,,Professor Emeritus,False,No public Google Scholar profile; not on current scoring roster,,
campbell_john,John P. Campbell,umn,https://cla.umn.edu/psychology/news-events/story/memoriam-emeritus-professor-and-former-chair-john-p-campbell,Professor Emeritus,False,No public Google Scholar profile; died July 2025,,
kuncel_nathan,Nathan R. Kuncel,umn,https://cla.umn.edu/about/directory/profile/kunce001,Professor,True,Core I-O; official UMN I-O page,,Li_99XsAAAAJ
landers_richard,Richard N. Landers,umn,https://cla.umn.edu/about/directory/profile/rlanders,Professor,True,Core I-O; official UMN I-O page,,wMsVHFYAAAAJ
ones_deniz,Deniz S. Ones,umn,https://cla.umn.edu/about/directory/profile/denes,Professor,True,Core I-O area director; official UMN I-O page,,RfAFQMQAAAAJ
schmidt_aaron,Aaron M. Schmidt,umn,https://cla.umn.edu/about/directory/profile/aschmidt,Associate Professor,True,Core I-O; official UMN I-O page; no public Google Scholar profile,,
ryan_annmarie,Ann Marie Ryan,msu,https://psychology.msu.edu/about/people/ann-marie-ryan,Professor,False,Official MSU: Professor Emerita; not current Organizational core,,
ford_kevin,J. Kevin Ford,msu,https://psychology.msu.edu/about/people/j-kevin-ford,Professor,True,,,eXNjTPIAAAAJ
carter_nathan,Nathan T. Carter,msu,https://psychology.msu.edu/about/people/nathan-carter,Professor,True,,,QIjATukAAAAJ
newman_daniel,Daniel A. Newman,uiuc,https://psychology.illinois.edu/directory/profile/d5n,Professor,True,,,CrOaqpsAAAAJ
hulin_charles,Charles L. Hulin,uiuc,https://psychology.illinois.edu/directory/profile/clhulin,Professor Emeritus,False,No public Google Scholar profile; Professor Emeritus,,
rounds_james,James Rounds,uiuc,https://psychology.illinois.edu/directory/profile/jrounds,Professor,False,Official UIUC: Professor Emeritus,,GDTpZuMAAAAJ
drasgow_fritz,Fritz Drasgow,uiuc,https://psychology.illinois.edu/directory/profile/fdrasgow,Professor,False,"Official UIUC: Dean Emeritus, LER",,AXsNFH4AAAAJ
highhouse_scott,Scott Highhouse,bgsu,https://www.bgsu.edu/arts-and-sciences/psychology/people/scott-highhouse.html,Professor,True,,,-n4MwyUAAAAJ
brooks_margaret,Margaret E. Brooks,bgsu,https://www.bgsu.edu/business/departments-and-programs/management/faculty-staff/maggie-brooks.html,Professor,True,,,Tz9tznkAAAAJ
zickar_michael,Michael J. Zickar,bgsu,https://www.bgsu.edu/arts-and-sciences/psychology/people/mzickar.html,Professor,True,,,obkeqTgAAAAJ
levy_paul,Paul E. Levy,uakron,https://www.uakron.edu/psychology/faculty-staff/bio-detail.dot?u=plevy,Professor,True,,,KnOIC2AAAAAJ
elicker_joelle,Joelle D. Elicker,uakron,https://www.uakron.edu/psychology/faculty-staff/bio-detail.dot?u=joelle,Associate Professor,True,,,D7_KI6oAAAAJ
lebreton_james,James M. LeBreton,rice,https://profiles.rice.edu/faculty/james-lebreton,Professor,True,Official Rice faculty profile; formerly Penn State,,RXXhYO0AAAAJ
jacobs_rick,Rick R. Jacobs,psu,https://psych.la.psu.edu/directory/rrj,Professor,False,Official PSU: Professor Emeritus; not on doctoral faculty list,,
beier_margaret,Margaret E. Beier,rice,https://profiles.rice.edu/faculty/margaret-beier,Professor,True,Official Rice faculty profile; department chair,,h9TnggYAAAAJ
brossoit_rebecca,Rebecca Brossoit,rice,https://profiles.rice.edu/faculty/rebecca-brossoit,Assistant Professor,True,Official Rice faculty profile,,2_YzRxkAAAAJ
hebl_mikki,Michelle R. Hebl,rice,https://profiles.rice.edu/faculty/mikki-hebl,Professor,True,Official Rice faculty profile,,CCOSnCEAAAAJ
king_danielle,Danielle King Jordan,rice,https://profiles.rice.edu/faculty/danielle-king-jordan,Associate Professor,True,Official Rice faculty profile; Associate Dean GPS,,qS6aIMUAAAAJ
king_eden,Eden B. King,rice,https://profiles.rice.edu/faculty/eden-king,Professor,True,Official Rice faculty profile,,6gtdKWcAAAAJ
oswald_fred,Frederick L. Oswald,rice,https://profiles.rice.edu/faculty/fred-oswald,Professor,False,Left Rice I-O roster; University of California Irvine 2026–present,,jWlqGZcAAAAJ
motowidlo_stephan,Stephan J. Motowidlo,rice,https://profiles.rice.edu/faculty/stephan-motowidlo,Professor Emeritus,False,Official Rice: Professor Emeritus,,nkq2kBQAAAAJ
salas_eduardo,Eduardo Salas,rice,https://profiles.rice.edu/faculty/eduardo-salas,Professor,True,Official Rice faculty profile; Cline Chair,,pzOYmE0AAAAJ
sun_tianjun,Tianjun Sun,rice,https://profiles.rice.edu/faculty/tianjun-sun,Assistant Professor,True,Official Rice faculty profile,,dn24ECQAAAAJ
zaccaro_stephen,Stephen J. Zaccaro,gmu,https://psychology.gmu.edu/people/szaccaro,Professor,True,,,EtEt5w0AAAAJ
tetrick_lois,Lois E. Tetrick,gmu,https://psychology.gmu.edu/people/ltetrick,Professor,False,Official GMU: Emeritus Faculty; not current I-O core,,
dalal_reeshad,Reeshad S. Dalal,gmu,https://psychology.gmu.edu/people/rdalal,Professor,True,,,QkDLr-MAAAAJ
eby_lillian,Lillian T. Eby,uga,https://psychology.uga.edu/directory/people/lillian-eby,Professor,False,Official UGA: retired / Distinguished Research Professor Emerita; not on I-O PhD faculty directory,,
hoffman_brian,Brian J. Hoffman,uga,https://psychology.uga.edu/directory/people/brian-hoffman,Professor,True,,,lnPPKZUAAAAJ
olenick_jeffrey,Jeffrey Olenick,uga,https://www.psychology.uga.edu/directory/people/jeffrey-olenick,Assistant Professor,True,Official UGA I-O PhD faculty; I-O program chair,,j2_Rn98AAAAJ
arthur_winfred,Winfred Arthur Jr.,tamu,https://liberalarts.tamu.edu/psychology/profile/winfred-arthur/,Professor,True,,,TjxUECcAAAAJ
payne_stephanie,Stephanie C. Payne,tamu,https://liberalarts.tamu.edu/psychology/profile/stephanie-payne/,Professor,True,Scholar ID from TAMU profile ilhYOKgAAAAJ,,ilhYOKgAAAAJ
allen_tammy,Tammy D. Allen,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/tammy-allen.aspx,Professor,True,Official USF I-O faculty table,,C8nePQUAAAAJ
chao_georgia,Georgia T. Chao,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/georgia-chao.aspx,Professor,True,Official USF I-O faculty table; Area Director,,pOWIQxgAAAAJ
gillespie_michael,Michael A. Gillespie,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/michael-gillespie.aspx,Associate Professor,True,Official USF I-O faculty table; Sarasota-Manatee,,PxNBgYUAAAAJ
griffin_daniel,Daniel Griffin,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/daniel-griffin.aspx,Assistant Professor,True,Official USF I-O faculty table,,Vplvdo0AAAAJ
hou_daphne,Daphne Xin Hou,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/daphne-hou.aspx,Assistant Professor,True,Official USF I-O faculty table,,OCBbe2QAAAAJ
kozlowski_steve,Steve W. J. Kozlowski,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/steven-kozlowski.aspx,Professor,True,Official USF I-O faculty table,,XEjiPNEAAAAJ
smith_claire,Claire E. Smith,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/claire-smith.aspx,Assistant Professor,True,Official USF I-O faculty table,,olYdTMEAAAAJ
stark_stephen,Stephen Stark,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/stephen-stark.aspx,Professor,True,Official USF I-O faculty table,,D7710wUAAAAJ
spector_paul,Paul E. Spector,usf,https://www.usf.edu/arts-sciences/departments/psychology/people/faculty/paul-spector.aspx,Professor Emeritus,False,Official USF: Distinguished Professor Emeritus,,
borman_walter,Walter C. Borman,usf,,Professor Emeritus,False,Official USF: Professor Emeritus,,
woo_sang,Sang Eun Woo,purdue,https://hhs.purdue.edu/directory/sang-eun-woo/,Professor,True,,,NRkfBhQAAAAJ
tay_louis,Louis Tay,purdue,https://hhs.purdue.edu/directory/louis-tay/,Professor,True,,,5_1xpscAAAAJ
witt_la,L. A. Witt,uh,https://www.uh.edu/class/psychology/io-psych/people/faculty/,Professor,False,Not on dedicated UH I-O faculty page (joint Management appointment),,
brummel_bradley,Bradley J. Brummel,uh,https://www.uh.edu/class/psychology/about/people/bradley-brummel/bradley-brummel.php,Professor,True,Official UH I-O faculty page; program director,,s4jQwowAAAAJ
sabat_isaac,Isaac E. Sabat,uh,https://www.uh.edu/class/psychology/about/people/isaac-sabat/isaac-sabat.php,Associate Professor,True,Official UH I-O faculty page,,A0Mhl98AAAAJ
mehta_paras,Paras D. Mehta,uh,https://www.uh.edu/class/psychology/about/people/paras-mehta/index.php,Associate Professor,True,Official UH I-O faculty page,,4tefno0AAAAJ
