faculty_id,name,institution_id,google_scholar_id
sackett_paul,Paul R. Sackett,umn,TXKXrhYAAAAJ
kuncel_nathan,Nathan R. Kuncel,umn,Li_99XsAAAAJ
landers_richard,Richard N. Landers,umn,wMsVHFYAAAAJ
ones_deniz,Deniz S. Ones,umn,RfAFQMQAAAAJ
schmidt_aaron,Aaron M. Schmidt,umn,
ford_kevin,J. Kevin Ford,msu,eXNjTPIAAAAJ
carter_nathan,Nathan T. Carter,msu,QIjATukAAAAJ
newman_daniel,Daniel A. Newman,uiuc,CrOaqpsAAAAJ
highhouse_scott,Scott Highhouse,bgsu,-n4MwyUAAAAJ
brooks_margaret,Margaret E. Brooks,bgsu,Tz9tznkAAAAJ
zickar_michael,Michael J. Zickar,bgsu,obkeqTgAAAAJ
levy_paul,Paul E. Levy,uakron,KnOIC2AAAAAJ
elicker_joelle,Joelle D. Elicker,uakron,D7_KI6oAAAAJ
lebreton_james,James M. LeBreton,rice,RXXhYO0AAAAJ
beier_margaret,Margaret E. Beier,rice,h9TnggYAAAAJ
brossoit_rebecca,Rebecca Brossoit,rice,2_YzRxkAAAAJ
hebl_mikki,Michelle R. Hebl,rice,CCOSnCEAAAAJ
king_danielle,Danielle King Jordan,rice,qS6aIMUAAAAJ
king_eden,Eden B. King,rice,6gtdKWcAAAAJ
salas_eduardo,Eduardo Salas,rice,pzOYmE0AAAAJ
sun_tianjun,Tianjun Sun,rice,dn24ECQAAAAJ
zaccaro_stephen,Stephen J. Zaccaro,gmu,EtEt5w0AAAAJ
dalal_reeshad,Reeshad S. Dalal,gmu,QkDLr-MAAAAJ
hoffman_brian,Brian J. Hoffman,uga,lnPPKZUAAAAJ
olenick_jeffrey,Jeffrey Olenick,uga,j2_Rn98AAAAJ
arthur_winfred,Winfred Arthur Jr.,tamu,TjxUECcAAAAJ
payne_stephanie,Stephanie C. Payne,tamu,ilhYOKgAAAAJ
allen_tammy,Tammy D. Allen,usf,C8nePQUAAAAJ
chao_georgia,Georgia T. Chao,usf,pOWIQxgAAAAJ
gillespie_michael,Michael A. Gillespie,usf,PxNBgYUAAAAJ
griffin_daniel,Daniel Griffin,usf,Vplvdo0AAAAJ
hou_daphne,Daphne Xin Hou,usf,OCBbe2QAAAAJ
kozlowski_steve,Steve W. J. Kozlowski,usf,XEjiPNEAAAAJ
smith_claire,Claire E. Smith,usf,olYdTMEAAAAJ
stark_stephen,Stephen Stark,usf,D7710wUAAAAJ
woo_sang,Sang Eun Woo,purdue,NRkfBhQAAAAJ
tay_louis,Louis Tay,purdue,5_1xpscAAAAJ
brummel_bradley,Bradley J. Brummel,uh,s4jQwowAAAAJ
sabat_isaac,Isaac E. Sabat,uh,A0Mhl98AAAAJ
mehta_paras,Paras D. Mehta,uh,4tefno0AAAAJ
litson_kaylee,Kaylee Litson,uh,2Te_TMEAAAAJ
reyes_denise,Denise L. Reyes,uh,iaXc6NYAAAAJ
dik_bryan,Bryan J. Dik,csu,lJz8HB4AAAAJ
fisher_gwen,Gwenith G. Fisher,csu,MU4Y7VYAAAAJ
fletcher_keaton,Keaton A. Fletcher,csu,Z38glpIAAAAJ
french_kimberly,Kimberly A. French,csu,ekl67gcAAAAJ
gardner_danielle,Danielle M. Gardner,csu,CumJXukAAAAJ
gibbons_alyssa,Alyssa M. Gibbons,csu,
prasad_josh,Joshua J. Prasad,csu,JVRH_s0AAAAJ
tonidandel_scott,Scott Tonidandel,uncc,EzgIBbcAAAAJ
rogelberg_steven,Steven G. Rogelberg,uncc,XXtn9GcWxe4C
mcgonagle_alyssa,Alyssa McGonagle,uncc,ZbSzNS8AAAAJ
banks_george,George C. Banks,uncc,EWgu-gQAAAAJ
gooty_janaki,Janaki Gooty,uncc,tYlf9PIAAAAJ
blanchard_anita,Anita L. Blanchard,uncc,mnEZIz4AAAAJ
canevello_amy,Amy Canevello,uncc,72zO0DEAAAAJ
davenport_meghan,Meghan K. Davenport,uncc,d0dT5rMAAAAJ
endacott_camille,Camille G. Endacott,uncc,zdGitIIAAAAJ
gossett_loril,Loril M. Gossett,uncc,b94s48AAAAAJ
grant_ryan,Ryan Grant,uncc,
heggestad_eric,Eric D. Heggestad,uncc,Ha40ALIAAAAJ
jason_kendra,Kendra Jason,uncc,xCxqw-sAAAAJ
dickson_marcus,Marcus W. Dickson,wayne,xhXn61QAAAAJ
adair_wendi,Wendi L. Adair,waterloo,xmuke10AAAAJ
beck_james,James W. Beck,waterloo,
bobocel_ramona,D. Ramona Bobocel,waterloo,hANFxFIAAAAJ
brown_douglas,Douglas J. Brown,waterloo,VH40jFYAAAAJ
hillebrandt_annika,Annika Hillebrandt,waterloo,GaU_pnoAAAAJ
bourdage_joshua,Joshua S. Bourdage,calgary,4zIeRX4AAAAJ
oneill_thomas,Thomas A. O'Neill,calgary,nYMDbHgAAAAJ
