institution_id,name,country,city,program_url,faculty_page_url,unit,include_status,notes,roster_status,active_faculty
umn,University of Minnesota,US,Minneapolis,https://cla.umn.edu/psychology/graduate/areas-specialization/industrial-organizational-psychology-i-o,https://cla.umn.edu/psychology/graduate/areas-specialization/industrial-organizational-psychology-i-o,Psychology,core,Psychology I-O only; Carlson affiliates excluded,complete_v1,5
msu,Michigan State University,US,East Lansing,https://psychology.msu.edu/programs/organizational/,https://psychology.msu.edu/programs/organizational/faculty.html,Psychology,core,"Psychology Organizational faculty only; Broad affiliates excluded; Roberson is official Organizational directory (joint Broad/Psychology), not Affiliated",complete_v1,7
uiuc,University of Illinois Urbana-Champaign,US,Champaign,https://psychology.illinois.edu/research/areas/industrial-organizational,https://psychology.illinois.edu/directory/faculty,Psychology,core,,complete_v1,4
bgsu,Bowling Green State University,US,Bowling Green,https://www.bgsu.edu/arts-and-sciences/psychology/graduate-program/industrial-organizational.html,https://www.bgsu.edu/arts-and-sciences/psychology/graduate-program/industrial-organizational/people/faculty.html,Psychology,core,,complete_v1,6
uakron,University of Akron,US,Akron,https://www.uakron.edu/psychology/academics/industrial-organizational-psychology/,https://www.uakron.edu/psychology/faculty-staff/,Psychology,core,Diefendorff left 2026 for Arkansas Walton,complete_v1,5
psu,Pennsylvania State University,US,University Park,https://psych.la.psu.edu/graduate/program-areas/industrial-organizational/,https://psych.la.psu.edu/graduate/program-areas/industrial-organizational/faculty/,Psychology,core,LeBreton now Rice,complete_v1,4
rice,Rice University,US,Houston,https://psychology.rice.edu/graduate/industrial-organizational-psychology,https://psychology.rice.edu/people,Psychology,core,Rice people profiles; Oswald not counted; iopsychology.rice.edu faculty page stale,complete_v1,8
gmu,George Mason University,US,Fairfax,https://psychology.gmu.edu/programs/la-phd-psyc/industrial-organizational,https://io.gmu.edu/people,Psychology,core,Tenure-line I-O only; Ahmad/Savage/Stagl not TT; Wittman Costello Management listed on official tenure-line I-O page,complete_v1,8
uga,University of Georgia,US,Athens,https://www.psychology.uga.edu/io-phd,https://psyc.franklin.uga.edu/directory/industrial-organizational-phd-program-faculty,Psychology,core,Outland not on 2026 I-O PhD faculty directory,complete_v1,5
tamu,Texas A&M University,US,College Station,https://artsci.tamu.edu/psychological-brain-sciences/academics/graduate/phd-program/training-areas/industrial-organizational-psychology/,https://artsci.tamu.edu/psychological-brain-sciences/academics/graduate/phd-program/training-areas/industrial-organizational-psychology/faculty.html,Psychology,core,Psychology I-O core only; Mays affiliates excluded,complete_v1,5
usf,University of South Florida,US,Tampa,https://www.usf.edu/arts-sciences/departments/psychology/graduate/industrial-organization/,https://www.usf.edu/arts-sciences/departments/psychology/graduate/industrial-organization/i-o-faculty.aspx,Psychology,core,,complete_v1,8
purdue,Purdue University,US,West Lafayette,https://hhs.purdue.edu/graduate-programs/industrial-organizational-psychology/,https://www.purdueiopsych.com/people,Psychology,core,Official I-O people page; exclude Daniels School courtesy faculty,complete_v1,5
